"","Value","Category","Proportion","Background characteristics"
"1","Urban","Basic",68,"Residence"
"2","Urban","Limited",17,"Residence"
"3","Rural","Basic",43,"Residence"
"4","Rural","Limited",27,"Residence"
"5","Lowest","Basic",29,"Wealth quintile"
"6","Lowest","Limited",29,"Wealth quintile"
"7","Second","Basic",43,"Wealth quintile"
"8","Second","Limited",25,"Wealth quintile"
"9","Middle","Basic",48,"Wealth quintile"
"10","Middle","Limited",26,"Wealth quintile"
"11","Fourth","Basic",55,"Wealth quintile"
"12","Fourth","Limited",24,"Wealth quintile"
"13","Highest","Basic",80,"Wealth quintile"
"14","Highest","Limited",14,"Wealth quintile"
