"County","Category","Proportion","proportion_category"
"Mombasa","None",0.6,"<20"
"Mombasa","1",0.6,"<20"
"Mombasa","2-3",33.1,"20-39"
"Mombasa","4-7",61,"40-78"
"Mombasa","8+",4.3,"<20"
"Kwale","None",0.7,"<20"
"Kwale","1",0,"<20"
"Kwale","2-3",27.4,"20-39"
"Kwale","4-7",68.4,"40-78"
"Kwale","8+",3.5,"<20"
"Kilifi","None",0.7,"<20"
"Kilifi","1",0,"<20"
"Kilifi","2-3",22,"20-39"
"Kilifi","4-7",68.5,"40-78"
"Kilifi","8+",8.9,"<20"
"Tana River","None",3.4,"<20"
"Tana River","1",5.1,"<20"
"Tana River","2-3",30.3,"20-39"
"Tana River","4-7",59.9,"40-78"
"Tana River","8+",1.3,"<20"
"Lamu","None",2.1,"<20"
"Lamu","1",0.4,"<20"
"Lamu","2-3",27,"20-39"
"Lamu","4-7",67.1,"40-78"
"Lamu","8+",3.4,"<20"
"Taita Taveta","None",0,"<20"
"Taita Taveta","1",6.2,"<20"
"Taita Taveta","2-3",29,"20-39"
"Taita Taveta","4-7",58.9,"40-78"
"Taita Taveta","8+",6,"<20"
"Garissa","None",20.2,"20-39"
"Garissa","1",9,"<20"
"Garissa","2-3",39.6,"20-39"
"Garissa","4-7",31,"20-39"
"Garissa","8+",0.2,"<20"
"Wajir","None",16,"<20"
"Wajir","1",5.4,"<20"
"Wajir","2-3",33.7,"20-39"
"Wajir","4-7",44.6,"40-78"
"Wajir","8+",0.2,"<20"
"Mandera","None",22.6,"20-39"
"Mandera","1",4.2,"<20"
"Mandera","2-3",32.3,"20-39"
"Mandera","4-7",38.4,"20-39"
"Mandera","8+",2,"<20"
"Marsabit","None",5,"<20"
"Marsabit","1",3.5,"<20"
"Marsabit","2-3",24.4,"20-39"
"Marsabit","4-7",64,"40-78"
"Marsabit","8+",3.1,"<20"
"Isiolo","None",0.7,"<20"
"Isiolo","1",4.6,"<20"
"Isiolo","2-3",41.8,"40-78"
"Isiolo","4-7",48.6,"40-78"
"Isiolo","8+",4.3,"<20"
"Meru","None",0.8,"<20"
"Meru","1",8.2,"<20"
"Meru","2-3",46.1,"40-78"
"Meru","4-7",41.2,"40-78"
"Meru","8+",3.8,"<20"
"Tharaka Nithi","None",2,"<20"
"Tharaka Nithi","1",2.4,"<20"
"Tharaka Nithi","2-3",31.3,"20-39"
"Tharaka Nithi","4-7",60.7,"40-78"
"Tharaka Nithi","8+",2.4,"<20"
"Embu","None",0,"<20"
"Embu","1",1.2,"<20"
"Embu","2-3",36.7,"20-39"
"Embu","4-7",60.4,"40-78"
"Embu","8+",1.6,"<20"
"Kitui","None",5.9,"<20"
"Kitui","1",1.5,"<20"
"Kitui","2-3",24.3,"20-39"
"Kitui","4-7",64.9,"40-78"
"Kitui","8+",3.3,"<20"
"Machakos","None",2,"<20"
"Machakos","1",6.6,"<20"
"Machakos","2-3",14.5,"<20"
"Machakos","4-7",68.6,"40-78"
"Machakos","8+",8.3,"<20"
"Makueni","None",0.9,"<20"
"Makueni","1",3.2,"<20"
"Makueni","2-3",20.2,"20-39"
"Makueni","4-7",73,"40-78"
"Makueni","8+",2.7,"<20"
"Nyandarua","None",1.7,"<20"
"Nyandarua","1",0.3,"<20"
"Nyandarua","2-3",37.3,"20-39"
"Nyandarua","4-7",55.2,"40-78"
"Nyandarua","8+",5.4,"<20"
"Nyeri","None",2.7,"<20"
"Nyeri","1",0,"<20"
"Nyeri","2-3",15.1,"<20"
"Nyeri","4-7",77.5,"40-78"
"Nyeri","8+",4.7,"<20"
"Kirinyaga","None",0,"<20"
"Kirinyaga","1",0,"<20"
"Kirinyaga","2-3",31.3,"20-39"
"Kirinyaga","4-7",61.8,"40-78"
"Kirinyaga","8+",5.7,"<20"
"Muranga","None",0,"<20"
"Muranga","1",3,"<20"
"Muranga","2-3",38.7,"20-39"
"Muranga","4-7",55.7,"40-78"
"Muranga","8+",2.6,"<20"
"Kiambu","None",1.6,"<20"
"Kiambu","1",1.6,"<20"
"Kiambu","2-3",29.9,"20-39"
"Kiambu","4-7",64.4,"40-78"
"Kiambu","8+",2.4,"<20"
"Turkana","None",0.5,"<20"
"Turkana","1",3.3,"<20"
"Turkana","2-3",38.5,"20-39"
"Turkana","4-7",53.5,"40-78"
"Turkana","8+",4.2,"<20"
"West Pokot","None",2.1,"<20"
"West Pokot","1",8.2,"<20"
"West Pokot","2-3",54.6,"40-78"
"West Pokot","4-7",34.5,"20-39"
"West Pokot","8+",0.5,"<20"
"Samburu","None",7.1,"<20"
"Samburu","1",8.4,"<20"
"Samburu","2-3",28.3,"20-39"
"Samburu","4-7",54.7,"40-78"
"Samburu","8+",1.5,"<20"
"Trans Nzoia","None",1.2,"<20"
"Trans Nzoia","1",2.7,"<20"
"Trans Nzoia","2-3",28,"20-39"
"Trans Nzoia","4-7",65.6,"40-78"
"Trans Nzoia","8+",2.5,"<20"
"Uasin Gishu","None",1.1,"<20"
"Uasin Gishu","1",1.1,"<20"
"Uasin Gishu","2-3",25.9,"20-39"
"Uasin Gishu","4-7",65.6,"40-78"
"Uasin Gishu","8+",6.3,"<20"
"Elgeyo Marakwet","None",0.7,"<20"
"Elgeyo Marakwet","1",2.6,"<20"
"Elgeyo Marakwet","2-3",45.2,"40-78"
"Elgeyo Marakwet","4-7",50.9,"40-78"
"Elgeyo Marakwet","8+",0.6,"<20"
"Nandi","None",2.4,"<20"
"Nandi","1",2.7,"<20"
"Nandi","2-3",32.8,"20-39"
"Nandi","4-7",59.4,"40-78"
"Nandi","8+",2.8,"<20"
"Baringo","None",0.7,"<20"
"Baringo","1",5.4,"<20"
"Baringo","2-3",44.5,"40-78"
"Baringo","4-7",48.5,"40-78"
"Baringo","8+",0.9,"<20"
"Laikipia","None",1,"<20"
"Laikipia","1",2.3,"<20"
"Laikipia","2-3",31.2,"20-39"
"Laikipia","4-7",64.1,"40-78"
"Laikipia","8+",1.4,"<20"
"Nakuru","None",2.3,"<20"
"Nakuru","1",1.1,"<20"
"Nakuru","2-3",23.2,"20-39"
"Nakuru","4-7",70,"40-78"
"Nakuru","8+",3.4,"<20"
"Narok","None",3,"<20"
"Narok","1",4.3,"<20"
"Narok","2-3",37.5,"20-39"
"Narok","4-7",53.6,"40-78"
"Narok","8+",1.7,"<20"
"Kajiado","None",0,"<20"
"Kajiado","1",1.1,"<20"
"Kajiado","2-3",17.7,"<20"
"Kajiado","4-7",76.2,"40-78"
"Kajiado","8+",5.1,"<20"
"Kericho","None",4.3,"<20"
"Kericho","1",2,"<20"
"Kericho","2-3",35.1,"20-39"
"Kericho","4-7",57.1,"40-78"
"Kericho","8+",1.6,"<20"
"Bomet","None",3.4,"<20"
"Bomet","1",3.1,"<20"
"Bomet","2-3",40.2,"40-78"
"Bomet","4-7",51.2,"40-78"
"Bomet","8+",2.1,"<20"
"Kakamega","None",0,"<20"
"Kakamega","1",2,"<20"
"Kakamega","2-3",24.6,"20-39"
"Kakamega","4-7",66.5,"40-78"
"Kakamega","8+",6.9,"<20"
"Vihiga","None",0.9,"<20"
"Vihiga","1",2.3,"<20"
"Vihiga","2-3",17.4,"<20"
"Vihiga","4-7",74.2,"40-78"
"Vihiga","8+",5.2,"<20"
"Bungoma","None",1.4,"<20"
"Bungoma","1",0.5,"<20"
"Bungoma","2-3",25.6,"20-39"
"Bungoma","4-7",69.4,"40-78"
"Bungoma","8+",3.1,"<20"
"Busia","None",0.6,"<20"
"Busia","1",3.1,"<20"
"Busia","2-3",25.5,"20-39"
"Busia","4-7",64.5,"40-78"
"Busia","8+",6.3,"<20"
"Siaya","None",0.9,"<20"
"Siaya","1",1.2,"<20"
"Siaya","2-3",32.8,"20-39"
"Siaya","4-7",62,"40-78"
"Siaya","8+",3,"<20"
"Kisumu","None",1.4,"<20"
"Kisumu","1",3.9,"<20"
"Kisumu","2-3",31.5,"20-39"
"Kisumu","4-7",58.3,"40-78"
"Kisumu","8+",5,"<20"
"Homa Bay","None",1.8,"<20"
"Homa Bay","1",1.7,"<20"
"Homa Bay","2-3",27.3,"20-39"
"Homa Bay","4-7",65.5,"40-78"
"Homa Bay","8+",3.3,"<20"
"Migori","None",0,"<20"
"Migori","1",2.8,"<20"
"Migori","2-3",38.7,"20-39"
"Migori","4-7",56.1,"40-78"
"Migori","8+",2.4,"<20"
"Kisii","None",1.5,"<20"
"Kisii","1",4.5,"<20"
"Kisii","2-3",31.2,"20-39"
"Kisii","4-7",60.9,"40-78"
"Kisii","8+",1.7,"<20"
"Nyamira","None",0,"<20"
"Nyamira","1",3.8,"<20"
"Nyamira","2-3",30.4,"20-39"
"Nyamira","4-7",62.9,"40-78"
"Nyamira","8+",2.8,"<20"
"Nairobi","None",0,"<20"
"Nairobi","1",1.7,"<20"
"Nairobi","2-3",17.8,"<20"
"Nairobi","4-7",72.9,"40-78"
"Nairobi","8+",7.6,"<20"
